structure_type,word_order,seed,split,perplexity,mean_surp,f1,top_ll_per_word,top_ten_neg_entropy_per_word,top_ll_per_sent,top_ten_neg_entropy_per_sent
no-reduction,001011,3435,cc,33.13485320982951,3.500585695466382,99.49,-74.60643203180749,-0.005207002737266407,-1134.6519215557478,-0.07919070112971616
no-reduction,001011,3436,cc,32.9867199661781,3.4961050552043718,99.17,-75.03987730479338,-0.005003698008272929,-1141.2439739899469,-0.07609874115881886
no-reduction,001011,3437,cc,32.97047548065289,3.4956124785948415,99.26,-74.77363885737908,-0.005508606620856492,-1137.1948865624506,-0.08377764379329597
structure-reduction,001011,3435,cc,35.718310942139695,3.5756634688359576,99.47,-41.07007943608819,-0.005958198564632112,-494.93552728430024,-0.07180225090238157
structure-reduction,001011,3436,cc,35.29830566262293,3.56383496456132,99.41,-41.30786184504605,-0.005615085167567651,-497.8010430946495,-0.06766739135435776
structure-reduction,001011,3437,cc,35.64112448376346,3.573500153276695,99.41,-41.980834537930576,-0.006052619268543635,-505.9110370165993,-0.07294011480521935
linear-reduction,001011,3435,cc,97.6058784147946,4.580937721265094,90.29,-36.36723927920897,-0.007917570378104755,-353.5986675117506,-0.07698253678631252
linear-reduction,001011,3436,cc,96.91919963882599,4.573877637957418,90.28,-36.25542205543019,-0.007619201920801143,-352.5114686449503,-0.07408150027594951
linear-reduction,001011,3437,cc,94.43166476697037,4.547876448760268,90.15,-36.06475271644033,-0.00806934567115834,-350.65759066195017,-0.07845824796067255
no-reduction,001100,3435,cc,33.323219382665684,3.5062544327592398,99.09,-74.77525259261833,-0.006685152624716199,-1137.219429054848,-0.1016711436929963
no-reduction,001100,3436,cc,32.290045110380234,3.474758981807927,99.08,-73.42012172170146,-0.0069829530090711545,-1116.6099212044985,-0.10620024083845864
no-reduction,001100,3437,cc,32.04081617997305,3.4670105956576376,98.97,-73.2639936712924,-0.006966017425148514,-1114.23544774985,-0.10594267601037118
structure-reduction,001100,3435,cc,34.76727021614422,3.548676433192082,98.37,-40.95058515479599,-0.008659812829434796,-493.4955017004503,-0.10435940440751873
structure-reduction,001100,3436,cc,34.84759498278547,3.550984124288194,98.51,-41.254269100991756,-0.0075923774378612715,-497.15519693605034,-0.09149574050366618
structure-reduction,001100,3437,cc,35.3641292292538,3.5656980077969704,98.22,-41.01153791841372,-0.008418297595661492,-494.23004345480024,-0.10144890432531664
linear-reduction,001100,3435,cc,98.65732005277852,4.591652431974045,88.80,-36.30127285711698,-0.01065608482334045,-352.9572759897504,-0.1036091127373392
linear-reduction,001100,3436,cc,96.69004341553028,4.571510433513147,88.80,-35.773281069926604,-0.01041299512257067,-347.82361184290016,-0.10124555157675463
linear-reduction,001100,3437,cc,95.4856774491771,4.55897626188524,88.57,-36.08751550590359,-0.010455619078769511,-350.87891326390013,-0.10165998430287596
no-reduction,001101,3435,cc,33.07266907282369,3.4987072335289096,99.50,-74.83132621596442,-0.005135832569585538,-1138.0722247555016,-0.07810830963454166
no-reduction,001101,3436,cc,33.69172101521018,3.5172521399727397,99.47,-75.18791137628585,-0.005303652772164723,-1143.4953501662474,-0.08066060318546721
no-reduction,001101,3437,cc,32.8527527689106,3.4920355395601046,99.54,-74.31820015496284,-0.005185879139219452,-1130.2683470567483,-0.07886944288881904
structure-reduction,001101,3435,cc,35.40383179711364,3.566820057138211,99.42,-41.41879985476299,-0.0058298566243968975,-499.1379570497498,-0.07025560218060702
structure-reduction,001101,3436,cc,35.3201425376792,3.5644534113357476,99.42,-41.61270375565505,-0.006797181855207681,-501.47469295940016,-0.08191283853710776
structure-reduction,001101,3437,cc,35.805293363093064,3.5780957417808206,99.41,-41.929313637781185,-0.006674320408309561,-505.2901586489,-0.08043223524053854
linear-reduction,001101,3435,cc,100.471516303197,4.609874267459443,90.64,-36.812111333662685,-0.008059595864045307,-357.92415849720004,-0.07836345058611252
linear-reduction,001101,3436,cc,101.48790614651112,4.619939640116866,90.77,-36.898424453784735,-0.00859874783041706,-358.7633809641504,-0.08360562515514508
linear-reduction,001101,3437,cc,96.79526794812,4.572598108254158,90.04,-36.230045524648055,-0.008340097038961889,-352.26473263615014,-0.08109076350982644
no-reduction,001110,3435,cc,33.51122385303437,3.5118804231066085,99.09,-75.48912665286568,-0.006290129168797918,-1148.0763827000997,-0.09566342946366314
no-reduction,001110,3436,cc,33.36400270543941,3.507477555467943,98.80,-74.47194535709329,-0.0061892570593711825,-1132.6065809633508,-0.09412931598744663
no-reduction,001110,3437,cc,32.61885660813864,3.4848905447127687,98.87,-74.5912222467276,-0.006252751161390698,-1134.4206035393527,-0.09509496603801043
structure-reduction,001110,3435,cc,35.29161040864313,3.563645270214804,98.48,-41.759923773417434,-0.008082321644597492,-503.24884139345033,-0.09740005813904437
structure-reduction,001110,3436,cc,35.05560515903606,3.5569355196403216,98.51,-41.314748387017744,-0.007441872188152515,-497.88403281194996,-0.08968200173942598
structure-reduction,001110,3437,cc,34.700708290919884,3.5467600985865664,98.52,-41.320212665056566,-0.007799192295978414,-497.9498828266006,-0.09398806635883586
linear-reduction,001110,3435,cc,96.39718255938284,4.568476974626977,88.78,-35.791780010521386,-0.010651527052644156,-348.0034770423002,-0.10356479753285913
linear-reduction,001110,3436,cc,99.95237813674842,4.60469385392747,88.81,-36.279611411030565,-0.009875482559789867,-352.74666174944986,-0.09601931692883688
linear-reduction,001110,3437,cc,96.15350488699929,4.565945923653304,87.84,-36.10937039788661,-0.00975121860281028,-351.09140837864936,-0.09481109847512434
no-reduction,001111,3435,cc,32.46714427812366,3.4802286326973406,99.11,-74.36032622275827,-0.005333955128239908,-1130.9090213588017,-0.08112145656783663
no-reduction,001111,3436,cc,32.76846703342837,3.4894666820446107,99.26,-74.81777431554436,-0.00562060305681635,-1137.8661206779511,-0.08548094158959145
no-reduction,001111,3437,cc,33.56262648898225,3.5134131410212293,99.45,-74.33454186435553,-0.0060094970409645026,-1130.5168799440498,-0.09139543574750865
structure-reduction,001111,3435,cc,35.311656786227246,3.5642131300014475,99.40,-41.09071170402472,-0.005994650232183698,-495.18416674520023,-0.07224152994804575
structure-reduction,001111,3436,cc,35.17557509064582,3.5603519522810405,99.37,-41.616937522853384,-0.00641921571678618,-501.5257140879007,-0.07735796860299027
structure-reduction,001111,3437,cc,35.96070847750428,3.5824269112309284,99.38,-41.94775651533909,-0.006212023336661162,-505.5124137663498,-0.07486109323010365
linear-reduction,001111,3435,cc,100.41711258151349,4.609332636772673,90.43,-36.64925266234164,-0.00787403337495572,-356.3406836359496,-0.07655922650469446
linear-reduction,001111,3436,cc,100.08615925543147,4.606031407584602,90.84,-36.80513169651342,-0.007013786244719289,-357.85629548520063,-0.06819504365740565
linear-reduction,001111,3437,cc,101.50560594780625,4.620114027969535,90.62,-36.733710533235396,-0.009097252409201718,-357.1618675146501,-0.08845258517466828
no-reduction,010000,3435,cc,32.293066268279816,3.474852540567711,99.41,-80.9236129589337,-0.004956947045735029,-1230.7267676859497,-0.07538772914506117
no-reduction,010000,3436,cc,32.934328929618296,3.4945155462852013,99.37,-82.0870135271265,-0.0049723346223780355,-1248.4203452272977,-0.07562175110443634
no-reduction,010000,3437,cc,32.71067111367807,3.487701358419553,99.44,-81.28954564034866,-0.00475381364327568,-1236.292054871253,-0.0722983747937582
structure-reduction,010000,3435,cc,34.81361647257991,3.550008588198873,99.18,-47.33658586554638,-0.006340447138514087,-570.4531962656991,-0.07640872846623327
structure-reduction,010000,3436,cc,34.39013553080044,3.5377697654308973,98.93,-46.81458930171338,-0.005435499170439642,-564.1626156749504,-0.06550320050296814
structure-reduction,010000,3437,cc,34.6355751013862,3.5448813359674682,99.21,-47.10363176194106,-0.006102184034132744,-567.6458663631499,-0.07353741979533368
linear-reduction,010000,3435,cc,92.75257384067149,4.5299354514062475,90.18,-38.49513215743116,-0.008197051854525138,-374.2881699666996,-0.07969993518154792
linear-reduction,010000,3436,cc,93.84198244993972,4.541612329973945,89.51,-38.751237030947394,-0.007903403939279807,-376.7782776519,-0.07684479650161756
linear-reduction,010000,3437,cc,90.6661292512628,4.507183850234543,89.21,-38.20906314397807,-0.007709197656536283,-371.50672094890075,-0.07495652881450228
no-reduction,010001,3435,cc,32.081167142578394,3.4682691645864456,99.25,-80.09619151982128,-0.005011249104868666,-1218.142928729202,-0.07621358201139512
no-reduction,010001,3436,cc,32.958600426289536,3.4952522413450873,99.54,-80.97212964506718,-0.0056849622805946924,-1231.4646337070014,-0.08645974884442438
no-reduction,010001,3437,cc,32.296159336758265,3.474948317176018,99.32,-79.98546771498873,-0.005160399013093328,-1216.4589857434016,-0.07848192839062985
structure-reduction,010001,3435,cc,34.753951799854185,3.5482932864041876,99.05,-45.87931248009354,-0.005796606471636725,-552.8915946976005,-0.06985490458969418
structure-reduction,010001,3436,cc,34.623538685414445,3.5445337595855357,99.19,-46.230618028333716,-0.006306965622737312,-557.12517785945,-0.07600524271960733
structure-reduction,010001,3437,cc,34.440580212559524,3.539235526472194,99.18,-45.894650470707944,-0.0056562383231701105,-553.0764328224998,-0.068163328032523
linear-reduction,010001,3435,cc,90.27174016390366,4.502824456446776,87.59,-37.513613689185796,-0.007873572310165503,-364.7448658999498,-0.07655474357173918
linear-reduction,010001,3436,cc,89.68372976778844,4.496289367638019,87.76,-37.90545032443677,-0.00852702652828975,-368.55469350450056,-0.08290827893456124
